지점,지점명,일시,기온(°C),지면온도(°C)
203,이천,2021-12-16 01:00,2.5,3.7
203,이천,2021-12-16 02:00,2.3,3.7
203,이천,2021-12-16 03:00,2.4,3.7
203,이천,2021-12-16 04:00,2.5,3.7
203,이천,2021-12-16 05:00,2.5,3.7
203,이천,2021-12-16 06:00,2.8,3.8
203,이천,2021-12-16 07:00,2.7,3.8
203,이천,2021-12-16 08:00,2.8,3.9
203,이천,2021-12-16 09:00,3,4.4
203,이천,2021-12-16 10:00,3.5,5.4
203,이천,2021-12-16 11:00,3.8,6.7
203,이천,2021-12-16 12:00,4.2,7.3
203,이천,2021-12-16 13:00,4.8,8
203,이천,2021-12-16 14:00,5.3,9.2
203,이천,2021-12-16 15:00,5.8,8.7
203,이천,2021-12-16 16:00,5.9,7.2
203,이천,2021-12-16 17:00,4.7,5.5
203,이천,2021-12-16 18:00,4.4,5.2
203,이천,2021-12-16 19:00,3.6,4.1
203,이천,2021-12-16 20:00,3.5,3.4
203,이천,2021-12-16 21:00,2.3,2.9
203,이천,2021-12-16 22:00,1.6,3.2
203,이천,2021-12-16 23:00,1.8,3.1
203,이천,2021-12-17 00:00,2.6,2.5
203,이천,2021-12-17 01:00,3.7,2
203,이천,2021-12-17 02:00,3,1.5
203,이천,2021-12-17 03:00,2.3,.9
203,이천,2021-12-17 04:00,1.4,.5
203,이천,2021-12-17 05:00,-.5,.2
203,이천,2021-12-17 06:00,-1.4,-.3
203,이천,2021-12-17 07:00,-2.2,-.5
203,이천,2021-12-17 08:00,-2.8,-.7
203,이천,2021-12-17 09:00,-2.3,-.4
203,이천,2021-12-17 10:00,-2.2,.2
203,이천,2021-12-17 11:00,-1.7,.6
203,이천,2021-12-17 12:00,-1.9,1.2
203,이천,2021-12-17 13:00,-2.3,3.5
203,이천,2021-12-17 14:00,-2,3
203,이천,2021-12-17 15:00,-2.7,2.1
203,이천,2021-12-17 16:00,-3.6,.3
203,이천,2021-12-17 17:00,-5.6,-.8
203,이천,2021-12-17 18:00,-7.1,-1.2
203,이천,2021-12-17 19:00,-7.9,-1.7
203,이천,2021-12-17 20:00,-8.3,-2.4
203,이천,2021-12-17 21:00,-8.7,-3
203,이천,2021-12-17 22:00,-9.2,-3.5
203,이천,2021-12-17 23:00,-9.4,-3.8
203,이천,2021-12-18 00:00,-9.7,-3.9
203,이천,2021-12-18 01:00,-10.2,-4.2
203,이천,2021-12-18 02:00,-10.9,-4.4
203,이천,2021-12-18 03:00,-10.9,-4.5
203,이천,2021-12-18 04:00,-11.2,-4.7
203,이천,2021-12-18 05:00,-10.8,-4.7
203,이천,2021-12-18 06:00,-11.7,-4.9
203,이천,2021-12-18 07:00,-11.7,-5.1
203,이천,2021-12-18 08:00,-11.5,-5.1
203,이천,2021-12-18 09:00,-9.5,-3.6
203,이천,2021-12-18 10:00,-7.3,-.8
203,이천,2021-12-18 11:00,-6,.2
203,이천,2021-12-18 12:00,-4.8,1
203,이천,2021-12-18 13:00,-3.2,1
203,이천,2021-12-18 14:00,-1.6,1
203,이천,2021-12-18 15:00,-1.9,.3
203,이천,2021-12-18 16:00,-1.1,.2
203,이천,2021-12-18 17:00,-1.9,0
203,이천,2021-12-18 18:00,-3.5,.1
203,이천,2021-12-18 19:00,-3.5,.1
203,이천,2021-12-18 20:00,-4.1,0
203,이천,2021-12-18 21:00,-4.2,-.1
